Time (s),CO2 (ppm),VOC (ppb),NOx (ppb),Temperature (oC),Humidity (%RH)
0.73,717.0,34601,47243,22.25,52.12
6.34,711.0,34506,47255,22.29,52.52
11.93,711.0,34402,47260,22.33,52.42
17.52,717.0,34287,47275,22.38,52.04
23.12,714.0,34212,47291,22.45,51.65
28.72,701.0,34115,47293,22.49,51.63
34.31,699.0,34057,47302,22.51,51.55
39.91,701.0,33991,47318,22.56,51.31
45.5,701.0,33921,47317,22.61,51.38
51.1,702.0,33977,47316,23.11,74.58
56.7,702.0,34093,47335,22.81,66.07
62.29,1118.0,33927,47341,22.84,55.68
67.9,1341.0,33822,47338,22.88,53.07
73.51,1451.0,33735,47349,22.93,52.12
79.1,1466.0,33668,47340,22.96,51.35
84.7,1463.0,33611,47341,23.0,51.45
90.3,1440.0,33574,47340,23.02,51.66
95.91,1398.0,33524,47341,23.04,51.09
101.51,1345.0,33496,47347,23.08,50.95
107.12,1303.0,33488,47347,23.11,51.65
112.73,1248.0,33450,47340,23.12,51.47
118.33,1194.0,33426,47343,23.15,51.12
123.94,1145.0,33394,47340,23.17,50.83
129.53,1108.0,33395,47339,23.2,50.81
135.13,1047.0,33342,47349,23.2,50.42
140.74,1021.0,33329,47341,23.25,50.35
146.33,1001.0,33290,47336,23.27,49.89
151.94,973.0,33267,47333,23.29,49.9
157.55,949.0,33240,47326,23.3,49.66
163.15,931.0,33214,47332,23.34,50.56
